,DP Cell Line ID
354,ACH-000422
355,ACH-000488
356,ACH-000545
357,ACH-000277
358,ACH-000019
359,ACH-000783
360,ACH-000783
361,ACH-000207
362,ACH-000530
363,ACH-000563
364,ACH-000117
365,ACH-000906
366,ACH-000846
367,ACH-000349
368,ACH-000643
369,ACH-000778
370,ACH-000848
371,ACH-000486
372,ACH-000693
373,ACH-000777
374,ACH-000809
375,ACH-000759
376,ACH-000934
377,ACH-000356
378,ACH-000188
379,ACH-000238
380,ACH-000730
381,ACH-000635
382,ACH-000478
383,ACH-000422
384,ACH-000488
385,ACH-000545
386,ACH-000247
387,ACH-000927
388,ACH-000867
389,ACH-000330
390,ACH-000277
391,ACH-000352
392,ACH-000859
393,ACH-000554
394,ACH-000563
395,ACH-000212
396,ACH-000714
397,ACH-000725
398,ACH-000764
399,ACH-000927
400,ACH-000568
401,ACH-000927
402,ACH-000117
403,ACH-000277
404,ACH-000859
405,ACH-000725
406,ACH-000809
407,ACH-000934
408,ACH-000910
409,ACH-000192
410,ACH-000678
411,ACH-000021
412,ACH-000427
413,ACH-000719
414,ACH-000811
415,ACH-000568
416,ACH-000554
417,ACH-000483
418,ACH-000704
419,ACH-000409
420,ACH-000053
421,ACH-000496
422,ACH-000945
423,ACH-000212
424,ACH-000783
425,ACH-000530
426,ACH-000698
427,ACH-000053
428,ACH-000053
429,ACH-000714
430,ACH-000769
431,ACH-000589
432,ACH-000247
433,ACH-000714
434,ACH-000586
435,ACH-000900
436,ACH-000563
437,ACH-000927
438,ACH-000867
439,ACH-000352
440,ACH-000554
441,ACH-000212
442,ACH-000714
443,ACH-000927
444,ACH-000009
445,ACH-000277
446,ACH-000848
447,ACH-000473
448,ACH-000483
449,ACH-000930
450,ACH-000871
451,ACH-000945
452,ACH-000144
453,ACH-000698
454,ACH-000714
455,ACH-000927
456,ACH-000117
457,ACH-000859
458,ACH-000934
459,ACH-000910
460,ACH-000192
461,ACH-000021
462,ACH-000719
463,ACH-000568
464,ACH-000554
465,ACH-000867
466,ACH-000276
467,ACH-000053
468,ACH-000444
469,ACH-000679
470,ACH-000568
471,ACH-000586
472,ACH-000530
473,ACH-000276
474,ACH-000900
475,ACH-000053
476,ACH-000927
477,ACH-000009
478,ACH-000508
479,ACH-000278
480,ACH-000243
481,ACH-000844
482,ACH-000698
483,ACH-000698
484,ACH-000117
485,ACH-000633
486,ACH-000277
487,ACH-000930
488,ACH-000859
489,ACH-000725
490,ACH-000616
491,ACH-000714
492,ACH-000809
493,ACH-000637
494,ACH-000784
495,ACH-000705
496,ACH-000934
497,ACH-000910
498,ACH-000910
499,ACH-000192
500,ACH-000192
501,ACH-000678
502,ACH-000021
503,ACH-000298
504,ACH-000481
505,ACH-000481
506,ACH-000525
507,ACH-000912
508,ACH-000109
509,ACH-000109
510,ACH-000292
511,ACH-000427
512,ACH-000679
513,ACH-000719
514,ACH-000145
515,ACH-000665
516,ACH-000635
517,ACH-000635
518,ACH-000568
519,ACH-000554
520,ACH-000554
521,ACH-000097
522,ACH-000792
523,ACH-000927
524,ACH-000844
525,ACH-000563
526,ACH-000117
527,ACH-000725
528,ACH-000725
529,ACH-000192
530,ACH-000678
531,ACH-000427
532,ACH-000090
533,ACH-000144
534,ACH-000719
535,ACH-000238
536,ACH-000408
537,ACH-000568
538,ACH-000554
539,ACH-000616
540,ACH-000238
541,ACH-000563
542,ACH-000756
543,ACH-000859
544,ACH-000667
545,ACH-000589
546,ACH-000330
547,ACH-000758
548,ACH-000900
549,ACH-000586
550,ACH-000912
551,ACH-000927
552,ACH-000117
553,ACH-000714
554,ACH-000192
555,ACH-000678
556,ACH-000427
557,ACH-000719
558,ACH-000652
559,ACH-000568
560,ACH-000554
561,ACH-000930
562,ACH-000900
563,ACH-000563
564,ACH-000756
565,ACH-000859
566,ACH-000589
567,ACH-000253
568,ACH-000563
569,ACH-000308
570,ACH-000574
571,ACH-000756
572,ACH-000859
573,ACH-000616
574,ACH-000293
575,ACH-000777
576,ACH-000705
577,ACH-000910
578,ACH-000351
579,ACH-000830
580,ACH-000589
581,ACH-000727
582,ACH-000610
583,ACH-000238
584,ACH-000635
585,ACH-000408
586,ACH-000330
587,ACH-000934
588,ACH-000758
589,ACH-000893
590,ACH-000900
591,ACH-000196
592,ACH-000691
593,ACH-000293
594,ACH-000351
595,ACH-000589
596,ACH-000610
597,ACH-000767
598,ACH-000001
599,ACH-000090
600,ACH-000867
601,ACH-000698
602,ACH-000293
603,ACH-000021
604,ACH-000870
605,ACH-000756
606,ACH-000667
607,ACH-000844
608,ACH-000276
609,ACH-000608
610,ACH-000347
611,ACH-000927
612,ACH-000207
613,ACH-000906
614,ACH-000614
615,ACH-000839
616,ACH-000647
617,ACH-000792
618,ACH-000927
619,ACH-000009
620,ACH-000783
621,ACH-000382
622,ACH-000530
623,ACH-000530
624,ACH-000844
625,ACH-000698
626,ACH-000563
627,ACH-000117
628,ACH-000846
629,ACH-000574
630,ACH-000277
631,ACH-000277
632,ACH-000196
633,ACH-000725
634,ACH-000515
635,ACH-000012
636,ACH-000012
637,ACH-000643
638,ACH-000616
639,ACH-000848
640,ACH-000848
641,ACH-000132
642,ACH-000293
643,ACH-000714
644,ACH-000714
645,ACH-000486
646,ACH-000486
647,ACH-000693
648,ACH-000809
649,ACH-000759
650,ACH-000934
651,ACH-000351
652,ACH-000758
653,ACH-000893
654,ACH-000893
655,ACH-000496
656,ACH-000521
657,ACH-000610
658,ACH-000900
659,ACH-000871
660,ACH-000395
661,ACH-000853
662,ACH-000001
663,ACH-000409
664,ACH-000164
665,ACH-000473
666,ACH-000238
667,ACH-000400
668,ACH-000635
669,ACH-000635
670,ACH-000635
671,ACH-000483
672,ACH-000478
673,ACH-000422
674,ACH-000652
675,ACH-000163
676,ACH-000146
677,ACH-000545
678,ACH-000008
679,ACH-000867
680,ACH-000014
681,ACH-000758
682,ACH-000021
683,ACH-000912
684,ACH-000291
685,ACH-000291
686,ACH-000483
687,ACH-000647
688,ACH-000832
689,ACH-000253
690,ACH-000635
691,ACH-000530
692,ACH-000563
693,ACH-000739
694,ACH-000893
695,ACH-000554
696,ACH-000400
697,ACH-000364
698,ACH-000563
699,ACH-000635
700,ACH-000568
701,ACH-000276
702,ACH-000865
703,ACH-000525
704,ACH-000563
705,ACH-000846
706,ACH-000843
707,ACH-000005
708,ACH-000355
709,ACH-000144
710,ACH-000144
711,ACH-000382
712,ACH-000330
713,ACH-000930
714,ACH-000679
715,ACH-000867
716,ACH-000739
717,ACH-000554
718,ACH-000792
719,ACH-000844
720,ACH-000515
721,ACH-000659
722,ACH-000382
723,ACH-000395
724,ACH-000238
725,ACH-000408
726,ACH-000832
727,ACH-000243
728,ACH-000207
729,ACH-000530
730,ACH-000843
731,ACH-000454
732,ACH-000144
733,ACH-000581
734,ACH-000496
735,ACH-000408
736,ACH-000520
737,ACH-000643
738,ACH-000351
739,ACH-000635
740,ACH-000293
741,ACH-000853
742,ACH-000001
743,ACH-000164
744,ACH-000023
745,ACH-000530
746,ACH-000846
747,ACH-000486
748,ACH-000693
749,ACH-000678
750,ACH-000496
751,ACH-000587
752,ACH-000900
753,ACH-000478
754,ACH-000422
755,ACH-000545
756,ACH-000009
757,ACH-000264
758,ACH-000809
759,ACH-000536
760,ACH-000382
761,ACH-000330
762,ACH-000691
763,ACH-000409
764,ACH-000536
765,ACH-000783
766,ACH-000714
767,ACH-000839
768,ACH-000635
769,ACH-000243
770,ACH-000563
771,ACH-000616
772,ACH-000356
773,ACH-000409
774,ACH-000867
775,ACH-000277
776,ACH-000352
777,ACH-000859
778,ACH-000554
779,ACH-000309
780,ACH-000927
781,ACH-000117
782,ACH-000277
783,ACH-000930
784,ACH-000859
785,ACH-000725
786,ACH-000809
787,ACH-000934
788,ACH-000910
789,ACH-000192
790,ACH-000678
791,ACH-000021
792,ACH-000481
793,ACH-000427
794,ACH-000679
795,ACH-000719
796,ACH-000568
797,ACH-000554
798,ACH-000009
799,ACH-000264
800,ACH-000809
801,ACH-000594
802,ACH-000192
803,ACH-000927
804,ACH-000117
805,ACH-000382
806,ACH-000243
807,ACH-000616
808,ACH-000293
809,ACH-000351
810,ACH-000514
811,ACH-000399
812,ACH-000853
813,ACH-000416
814,ACH-000001
815,ACH-000505
