Gene,pval,ecDNA dominace
DCANP1,0.47008656667040316,neg
DHX35,0.47008656667040316,neg
PBX4,0.47008656667040316,neg
CAVIN4,0.4730222755922713,neg
HOXA3,0.4730222755922713,neg
ATP9B,0.4759680456663432,pos
HOXC6,0.478923844179151,pos
ST14,0.478923844179151,neg
AVIL,0.4818896378491365,pos
PARP8,0.4848653928269968,pos
ATP6V1B2,0.48785107469608435,neg
FUT3,0.49084664847285775,neg
ORMDL3,0.49084664847285775,neg
STAU1,0.49686732898391495,pos
C1orf112,0.49989236292146244,neg
LIME1,0.49989236292146244,pos
SERPINB1,0.49989236292146244,pos
NOXO1,0.5029271431745006,neg
PSTPIP1,0.5029271431745006,pos
RTEL1,0.5029271431745006,neg
TOP2A,0.5029271431745006,neg
ZNF622,0.5029271431745006,pos
AKR1A1,0.5059716319336653,neg
MUC4,0.5090257908265314,pos
OLAH,0.5090257908265314,neg
CCDC170,0.5120895809184383,pos
CDK1,0.5120895809184383,pos
TLR3,0.5120895809184383,pos
KCNRG,0.5151629627133703,pos
MYBL2,0.5151629627133703,neg
ALOX12B,0.5182458961548904,pos
CDCA2,0.5182458961548904,pos
TMEM106A,0.5213383406271288,pos
C1orf194,0.5244402549558238,neg
CTTNBP2NL,0.5244402549558238,neg
ESRP2,0.5244402549558238,pos
FAM160B2,0.5244402549558238,neg
PDCD6,0.5244402549558238,neg
EPHB2,0.5275515974094188,pos
TACR1,0.5306723257002117,neg
DGCR2,0.5369417678691374,neg
MRPS27,0.5369417678691374,neg
UCKL1,0.5369417678691374,neg
ZNF772,0.5369417678691374,pos
GTF2E2,0.5432482320851985,neg
SYTL3,0.5432482320851985,neg
TCTEX1D4,0.5464152358687033,neg
TBC1D10C,0.5464152358687033,neg
C20orf85,0.5495913601553772,pos
YTHDF1,0.5495913601553772,neg
C1orf52,0.5559707851173823,neg
CYP7B1,0.559173991871441,pos
KIF23,0.559173991871441,pos
GZMH,0.5623861312894547,neg
MON1B,0.5623861312894547,pos
NUF2,0.5623861312894547,neg
POLR3D,0.5623861312894547,neg
MARCHF9,0.5628073509119879,pos
CNTFR,0.5656071550575272,pos
CIB1,0.5688370143236441,neg
TMED6,0.572075659699527,pos
TNFRSF10B,0.572075659699527,pos
FRMPD2,0.5785791085576572,neg
HPS6,0.5785791085576572,neg
TMEM248,0.5818438105994667,neg
TKFC,0.5851170958742514,pos
MARCKS,0.5883989123421062,pos
CCR5,0.5949879280795788,neg
KIF14,0.5949879280795788,pos
TTK,0.5949879280795788,pos
RAI2,0.5982950206583035,neg
SDHA,0.6016104310529307,pos
EYA4,0.6049341046263286,neg
ENPP3,0.6082659862290349,neg
TIRAP,0.6082659862290349,neg
ASPM,0.6116060202017508,pos
ALOXE3,0.6149541503778873,pos
LYN,0.6149541503778873,pos
TAF4,0.6149541503778873,pos
ARMC3,0.6183103200861667,neg
CASP1,0.6183103200861667,neg
GPR18,0.6183103200861667,pos
WBP1L,0.6183103200861667,pos
WDR70,0.6189658101451363,pos
DSG1,0.6216744721532728,neg
ANKLE1,0.625046548906556,neg
CBLC,0.625046548906556,neg
CNOT2,0.625046548906556,pos
HOXA9,0.625046548906556,neg
ZNF385B,0.625046548906556,pos
GATAD1,0.6318142433009732,pos
BET1,0.6352097431252002,pos
MAD2L1,0.6352097431252002,neg
P2RY10,0.6352097431252002,pos
MPP1,0.6386129320075595,neg
MUC20,0.6386129320075595,pos
CTTN,0.6420237498211018,neg
GSR,0.6420237498211018,pos
MUC5B,0.6420237498211018,pos
PLEKHG7,0.6420237498211018,pos
C10orf95,0.6429341989809652,pos
PCM1,0.6454421359568505,pos
ZBBX,0.6454421359568505,pos
ELF3,0.6488680293268649,pos
NAT1,0.6488680293268649,neg
CD48,0.6523013683673534,neg
DCDC2B,0.6523013683673534,neg
RBBP8NL,0.6523013683673534,pos
BRD9,0.6557420910418372,pos
GRB7,0.6557420910418372,neg
HOXC5,0.6557420910418372,pos
CLDN4,0.6591901348443632,neg
ST6GALNAC1,0.6591901348443632,neg
DUSP6,0.6626454368027681,neg
EEF1B2,0.6626454368027681,neg
INTS5,0.6626454368027681,neg
ABCF1,0.6661079334819895,pos
ASMT,0.6666666666666666,pos
C2orf74,0.6666666666666666,pos
CFAP74,0.6666666666666666,neg
NLRC3,0.6666666666666666,neg
PLEKHA2,0.6666666666666666,neg
POLDIP2,0.6666666666666666,neg
TUBA4B,0.6666666666666666,pos
ZNF516,0.6666666666666666,pos
GARS1,0.6730542549683591,pos
STAC,0.6730542549683591,pos
CHMP4C,0.6765379506213882,neg
BCL2L15,0.6800285826939623,neg
MAP6D1,0.6800285826939623,neg
CARD16,0.6835260854879217,pos
GZMK,0.6835260854879217,pos
RNF222,0.6835260854879217,pos
S1PR4,0.6835260854879217,neg
ERICH1,0.6870303928631047,neg
RAE1,0.6870303928631047,neg
VPS37A,0.6870303928631047,neg
KIF4A,0.6905414382409971,pos
SHOX2,0.6905414382409971,pos
SPINT2,0.6905414382409971,neg
GMIP,0.6940591546084287,neg
MKNK2,0.6940591546084287,pos
NPM2,0.6940591546084287,neg
TTLL10,0.70111433010846,neg
GJC1,0.704651653075367,neg
RPAP3,0.704651653075367,pos
SLC6A20,0.704651653075367,neg
THEM5,0.704651653075367,pos
ZNF831,0.704651653075367,neg
ERLIN1,0.7081953747081451,neg
FASLG,0.7081953747081451,pos
TSPAN31,0.7081953747081451,neg
FBH1,0.7153017370423276,pos
DOCK5,0.7188642382544923,pos
BHLHA15,0.7224328591621256,neg
CHEK1,0.7224328591621256,pos
FUT10,0.7224328591621256,pos
RSPO1,0.7224328591621256,pos
CYSRT1,0.7243965481018545,neg
SIGLEC1,0.7260075290141111,neg
TTC7B,0.7260075290141111,neg
CRB3,0.729588176664157,neg
FADD,0.729588176664157,neg
KDELR3,0.729588176664157,pos
OS9,0.729588176664157,pos
PLA2G4D,0.729588176664157,neg
CD40LG,0.7331747305749857,pos
SPAG5,0.7331747305749857,neg
CENPN,0.7367671188225684,neg
HOXA10,0.7367671188225684,pos
KIF13B,0.7367671188225684,pos
MORN5,0.7367671188225684,pos
DPM1,0.7403652691003992,neg
BICDL2,0.7439691087238143,neg
IFT52,0.7439691087238143,neg
MS4A6A,0.7439691087238143,pos
PTN,0.7475785646343487,neg
CNOT7,0.7511935634041367,neg
NUSAP1,0.7511935634041367,pos
CDCA8,0.7548140312403522,neg
TENT5C,0.7548140312403522,pos
BCR,0.758439893989688,neg
CENPL,0.758439893989688,neg
DMBT1,0.758439893989688,neg
CKS1B,0.7610199391593194,neg
AMPD3,0.7620710771428761,pos
DHX16,0.7620710771428761,neg
HOXA11,0.7620710771428761,pos
TMEFF1,0.7620710771428761,pos
TMEM79,0.7620710771428761,pos
GAL,0.7657075058392462,neg
TUBB,0.7657075058392462,neg
VKORC1L1,0.7657075058392462,neg
PER2,0.7693491048713226,pos
FBXO25,0.7729957986894609,pos
SHCBP1,0.7729957986894609,neg
TMEM190,0.7729957986894609,pos
XKRX,0.7729957986894609,neg
TTI2,0.7766475114065203,neg
ARHGAP11A,0.7803041668025751,neg
CERT1,0.7839656883296614,neg
CUZD1,0.7839656883296614,neg
NPEPL1,0.7839656883296614,neg
SIKE1,0.7839656883296614,neg
HOXC10,0.787631999116561,pos
MPV17L,0.787631999116561,pos
NDC80,0.787631999116561,pos
APOBEC4,0.7913030219736206,pos
CDC25B,0.7913030219736206,pos
DEK,0.7913030219736206,pos
IFT20,0.7913030219736206,pos
KLHL9,0.7913030219736206,pos
SYK,0.7913030219736206,neg
SNRPG,0.7940328289261747,neg
RP9,0.794978679397607,neg
FKBP9,0.8023435863948964,pos
IGF2BP2,0.8023435863948964,pos
NRAS,0.8023435863948964,neg
CD3G,0.8060326794380077,neg
CYBA,0.8097260939976101,neg
BSPRY,0.8134237510765886,neg
PTPRCAP,0.8134237510765886,neg
SRPRA,0.8134237510765886,neg
GNAI3,0.8171255713940881,neg
ITGB7,0.8208314753906008,neg
MAB21L4,0.8208314753906008,neg
LY9,0.8245413832330842,neg
TRIB3,0.8245413832330842,neg
DSCC1,0.8282552148201103,neg
FBXO17,0.8282552148201103,neg
MS4A8,0.8282552148201103,neg
PPFIA1,0.8282552148201103,pos
C6orf118,0.8319728897870438,pos
IPCEF1,0.8319728897870438,neg
PRKCQ,0.8319728897870438,pos
PSRC1,0.8319728897870438,pos
TMEM243,0.8356943275112506,pos
YEATS4,0.8356943275112506,neg
ERAL1,0.8394194471173351,neg
NCAPG,0.8394194471173351,neg
CCR2,0.8431481674824047,neg
CCT6A,0.8431481674824047,neg
STARD3,0.8431481674824047,pos
SYTL1,0.8431481674824047,pos
CDC42SE2,0.8506160847922338,neg
CDHR4,0.8506160847922338,pos
SAE1,0.8506160847922338,neg
PSMB10,0.8580974257094809,pos
ZFP64,0.8580974257094809,neg
DLL3,0.8618429247357348,pos
FUT6,0.8618429247357348,pos
CCDC152,0.8655915328844738,neg
ENTPD4,0.869343167450016,neg
LTB,0.869343167450016,neg
C11orf16,0.8730977455222547,pos
GPR171,0.8730977455222547,neg
TMEM203,0.8730977455222547,neg
FAM24B,0.8768551839921526,pos
PAM,0.8768551839921526,pos
PRRG2,0.8768551839921526,neg
TNIP1,0.8768551839921526,neg
C16orf54,0.8806153995572581,neg
EXOC3,0.8806153995572581,pos
MYBPC2,0.8806153995572581,neg
SCNN1A,0.8806153995572581,pos
TCF25,0.8806153995572581,pos
PSMA7,0.8843783087272432,pos
RPL3,0.8881438278294627,neg
NKAIN1,0.8919118730145339,neg
PRELID3B,0.8919118730145339,neg
STAT4,0.8956823602619366,pos
ADGRF1,0.8994552053856318,neg
GPR174,0.8994552053856318,neg
NEK2,0.8994552053856318,neg
NUP107,0.8994552053856318,pos
PSMD3,0.9032303240396999,neg
DACH1,0.9070076317239959,pos
TRMT9B,0.9070076317239959,neg
NCCRP1,0.9107870437898233,pos
SCEL,0.9107870437898233,pos
FUT2,0.9145684754456236,neg
KCTD11,0.9183518417626827,pos
MIEN1,0.9183518417626827,neg
SLC39A2,0.9183518417626827,pos
FANCD2,0.922137057680853,pos
SLC40A1,0.922137057680853,pos
HMGA2,0.9259240380142892,neg
MFHAS1,0.9259240380142892,pos
WRN,0.9259240380142892,neg
SNX20,0.9297126974572002,pos
AAR2,0.9335029505896127,pos
CSE1L,0.9335029505896127,pos
IL2RB,0.937294711883149,pos
SELENOP,0.937294711883149,pos
CHAF1A,0.9410878957068164,pos
INTS9,0.9410878957068164,pos
AP5Z1,0.9448824163328088,pos
HOXA4,0.9448824163328088,pos
KRT1,0.9448824163328088,neg
CD163,0.948678187942319,neg
MIPOL1,0.948678187942319,neg
MLH1,0.948678187942319,pos
STX18,0.9562731404166023,pos
UQCC1,0.9562731404166023,neg
MRM2,0.9600721492412059,neg
R3HCC1,0.9600721492412059,neg
SNRPD1,0.9600721492412059,neg
BUB1,0.963872064980679,pos
HOXC11,0.963872064980679,neg
TOM1,0.963872064980679,neg
ZNF311,0.963872064980679,pos
MDM2,0.9714742724031371,neg
DAPL1,0.97527639155161,pos
WDR63,0.97527639155161,neg
ERBB2,0.97527639155161,neg
FCGR2A,0.97527639155161,pos
MSR1,0.97527639155161,pos
TBC1D31,0.97527639155161,neg
ACTL8,0.9790790725576753,neg
DMTN,0.9790790725576753,pos
PNPLA1,0.9828822290465536,neg
SKA3,0.9828822290465536,neg
ELP3,0.9904896228174231,neg
HMGB2,0.9904896228174231,pos
AP1M2,1.0,neg
NUDT18,1.0,pos
RACGAP1,1.0,pos
UBXN8,1.0,neg
