DepMap_ID,Match_ID
ACH-000178,PANC1_PANCREAS
ACH-000118,PANC1_PANCREAS
ACH-000213,PANC1_PANCREAS
ACH-001353,PANC1_PANCREAS
ACH-001098,PANC1_PANCREAS
ACH-001101,PANC1_PANCREAS
ACH-001107,PANC1_PANCREAS
ACH-001108,PANC1_PANCREAS
ACH-000281,PANC1_PANCREAS
ACH-000108,PANC1_PANCREAS
ACH-000265,PANC1_PANCREAS
ACH-000685,PANC1_PANCREAS
ACH-000601,PANC1_PANCREAS
ACH-001375,PANC1_PANCREAS
ACH-001376,PANC1_PANCREAS
ACH-001377,PANC1_PANCREAS
ACH-001378,PANC1_PANCREAS
ACH-001379,PANC1_PANCREAS
ACH-001380,PANC1_PANCREAS
ACH-001382,PANC1_PANCREAS
ACH-000042,PANC1_PANCREAS
ACH-000031,PANC1_PANCREAS
ACH-000139,PANC1_PANCREAS
ACH-000235,PANC1_PANCREAS
ACH-000093,PANC1_PANCREAS
ACH-000417,PANC1_PANCREAS
ACH-000164,PANC1_PANCREAS
ACH-000060,PANC1_PANCREAS
ACH-000599,PANC1_PANCREAS
ACH-000022,PANC1_PANCREAS
ACH-000023,PANC1_PANCREAS
ACH-000307,PANC1_PANCREAS
ACH-000468,PANC1_PANCREAS
ACH-000205,PANC1_PANCREAS
ACH-001171,PANC1_PANCREAS
ACH-000320,PANC1_PANCREAS
ACH-000347,PANC1_PANCREAS
ACH-000266,PANC1_PANCREAS
ACH-000933,PANC1_PANCREAS
ACH-000517,PANC1_PANCREAS
ACH-000114,PANC1_PANCREAS
ACH-000652,PANC1_PANCREAS
ACH-000155,PANC1_PANCREAS
ACH-000085,PANC1_PANCREAS
ACH-000502,PANC1_PANCREAS
ACH-000332,PANC1_PANCREAS
ACH-002164,PANC1_PANCREAS
ACH-002185,PANC1_PANCREAS
ACH-002186,PANC1_PANCREAS
ACH-000599,PATU8988T_PANCREAS
ACH-000022,PATU8988T_PANCREAS
ACH-000023,PATU8988T_PANCREAS
ACH-000530,DMS114_LUNG
ACH-000594,DMS114_LUNG
ACH-000536,BT20_BREAST
ACH-000012,HCC827_LUNG
ACH-000029,HCC827_LUNG
ACH-002333,HCC827_LUNG
ACH-000823,KYSE450_OESOPHAGUS
ACH-000855,KYSE450_OESOPHAGUS
ACH-000693,KYSE450_OESOPHAGUS
ACH-000873,KYSE450_OESOPHAGUS
ACH-000777,KYSE450_OESOPHAGUS
ACH-000809,KYSE450_OESOPHAGUS
ACH-000865,KYSE450_OESOPHAGUS
ACH-000824,KYSE450_OESOPHAGUS
ACH-000637,KYSE450_OESOPHAGUS
ACH-000784,KYSE450_OESOPHAGUS
ACH-002263,KYSE450_OESOPHAGUS
ACH-002264,KYSE450_OESOPHAGUS
